0.803627,2.488886,0.247881,0.701369,0.646701,0.623343,-0.154084,0.363780,-0.238305,0.263899
12.009255,-2.144456,2.652884,-1.688232,-2.747425,-4.621752,1.963958,2.498248,5.882733,-0.905373
-6.688722,-6.881599,0.497813,-5.518364,-7.370859,4.172170,-2.249685,6.308062,-6.970251,-9.033668
-3.936534,-2.294099,-0.134309,-4.502546,0.447532,7.062788,-1.710911,0.713218,-5.606866,-4.229821
-5.873504,-4.184363,7.161189,-6.680334,-7.161024,-1.367593,6.335745,-6.723090,-9.282954,-6.649166
-1.612162,-2.586363,-1.285274,-4.707865,0.163229,4.006983,-2.960451,-4.778229,-4.703396,-6.456107
-8.083511,3.870663,-5.467049,3.741737,-2.488478,-2.094101,6.026954,0.588484,-6.756922,-2.935949
-5.178417,2.026656,-1.852802,6.863364,0.579425,-3.713159,-7.693030,-1.912857,-7.642852,-6.765258
-3.215287,-2.033402,-2.317132,-0.906485,-2.643599,3.143606,-2.871803,-0.654726,-2.713113,-2.490176
-4.699866,4.607898,-2.709283,-4.050142,-2.690012,0.014808,-6.503798,0.179784,-5.606935,-2.849174
0.275243,-0.922138,5.087023,0.192642,-1.216563,1.499111,0.491180,-0.425627,0.435894,-0.044681
-5.432475,8.496665,3.837077,3.331298,-7.460714,-0.523303,-8.027038,5.139063,3.102767,5.431114
3.044970,7.333792,1.752620,5.948499,-2.234337,5.966172,1.226231,-5.669834,7.403145,-4.919778
2.332093,-12.331538,8.596811,10.478051,-1.828826,2.553504,-0.265590,-0.570135,6.248713,6.558649
-5.144971,7.180674,3.332799,-0.974134,8.636437,-1.632294,5.124397,-4.430860,8.302030,1.115136
